"","Country","Technology","h","mean_ut","sd_ut","UtCite"
"244","Honduras","Hydro",8760,0.576570769785352,3.34744836935923e-17,"WRI"
"245","Honduras","Oil",8760,0.647642142540332,7.85046229341888e-17,"WRI"
"246","Honduras","Solar",8760,0,0,"WRI"
"247","Honduras","Waste",8760,0,NA,"WRI"
"248","Honduras","Wind",8760,0.360585634558237,NA,"WRI"
"249","Hungary","Coal",8760,0.584543723182121,7.85046229341888e-17,"WRI"
"250","Hungary","Gas",8760,0.163200330278841,1.81702894593843e-17,"WRI"
"251","Hungary","Nuclear",8760,0.946796441124738,NA,"WRI"
"252","Hungary","Oil",8760,0.0490196078431373,NA,"WRI"
"253","Iceland","Geothermal",8760,1.0453587508382,9.93013661298909e-17,"WRI"
"254","Iceland","Hydro",8760,0.768336582633695,6.88531090971048e-17,"WRI"
"255","India","Biomass",8760,2.72035538573474,3.41641940587532e-16,"WRI"
"256","India","Coal",8760,NA,NA,"WRI"
"257","India","Gas",8760,NA,NA,"WRI"
"258","India","Hydro",8760,NA,NA,"WRI"
"259","India","Nuclear",8760,NA,NA,"WRI"
"260","India","Oil",8760,NA,NA,"WRI"
"261","India","Solar",8760,0.221541066556189,1.93813292381485e-17,"WRI"
"262","India","Wind",8760,1.16294595949286,1.05160818448428e-16,"WRI"
"263","Indonesia","Coal",8760,0.468296106104568,4.62995006904776e-17,"WRI"
"264","Indonesia","Gas",8760,0.501596925917609,5.55111512312578e-17,"WRI"
"265","Indonesia","Geothermal",8760,0.853867668374742,9.79124674325368e-17,"WRI"
"266","Indonesia","Hydro",8760,0.379249666262297,3.72380122987091e-17,"WRI"
"267","Indonesia","Oil",8760,4.16389703396806,5.12790049702284e-16,"WRI"
"268","Iran, Islamic Rep.","Gas",8760,0.588294699637387,6.46396835767928e-17,"WRI"
"269","Iran, Islamic Rep.","Hydro",8760,0.145744424713258,1.60246890531964e-17,"WRI"
"270","Iran, Islamic Rep.","Nuclear",8760,0.510502283105023,NA,"WRI"
"271","Iran, Islamic Rep.","Oil",8760,0.600448990872667,6.02102972531871e-17,"WRI"
"272","Iran, Islamic Rep.","Solar",8760,0,NA,"WRI"
"273","Iran, Islamic Rep.","Wind",8760,0.408675799086758,NA,"WRI"
"274","Iraq","Gas",8760,0.177858630871667,1.53960232403335e-17,"WRI"
"275","Iraq","Hydro",8760,0.129987972453726,1.48359792180544e-17,"WRI"
"276","Iraq","Oil",8760,0.944294505428044,7.0216669371534e-17,"WRI"
"277","Ireland","Biomass",8760,0.389127753891278,NA,"WRI"
"278","Ireland","Coal",8760,0.808942785138608,NA,"WRI"
"279","Ireland","Gas",8760,0.399241953484633,4.53246651836839e-17,"WRI"
"280","Ireland","Hydro",8760,0.278482439821861,3.92523114670944e-17,"WRI"
"281","Ireland","Oil",8760,0.0186339315323589,2.19427091786044e-18,"WRI"
"282","Ireland","Wind",8760,0.455893703327439,3.97792117070849e-17,"WRI"
"283","Israel","Coal",8760,0.710781538925997,1.11022302462516e-16,"WRI"
"284","Israel","Gas",8760,0.364991993148455,4.03902952810786e-17,"WRI"
"285","Israel","Solar",8760,0.253812628266025,2.48253415324727e-17,"WRI"
"286","Israel","Wind",8760,0.0163078930202218,0,"WRI"
"287","Italy","Coal",8760,0.589320783855924,5.55111512312578e-17,"WRI"
"288","Italy","Gas",8760,0.277131841209354,3.92523114670944e-17,"WRI"
"289","Italy","Geothermal",8760,0.788030881859305,7.60117743061015e-17,"WRI"
"290","Italy","Hydro",8760,0.513930536856602,7.20407827307146e-17,"WRI"
"291","Italy","Oil",8760,0.183127846899069,1.96261557335472e-17,"WRI"
"292","Italy","Other",8760,0.196195062414369,1.60246890531964e-17,"WRI"
"293","Italy","Solar",8760,5.8999212955895,7.27673948095843e-16,"WRI"
"294","Italy","Wind",8760,16.4637818493585,NA,"WRI"
"295","Jamaica","Gas",8760,0,NA,"WRI"
"296","Jamaica","Hydro",8760,1.04899419967913,0,"WRI"
"297","Jamaica","Oil",8760,0.709134707007875,1.28197512425571e-16,"WRI"
"298","Jamaica","Wind",8760,0.351020022890045,NA,"WRI"
"299","Japan","Coal",8760,0.959236293587738,8.88178419700125e-17,"WRI"
"300","Japan","Gas",8760,0.900241902106691,9.38309712959514e-17,"WRI"
"301","Japan","Geothermal",8760,0.548532691015814,5.33333889735378e-17,"WRI"
"302","Japan","Hydro",8760,0.361707272303978,4.2059509261153e-17,"WRI"
"303","Japan","Nuclear",8760,0,0,"WRI"
"304","Japan","Oil",8760,0.301260344845823,2.9373740229761e-17,"WRI"
"305","Japan","Solar",8760,1.40683358535322,1.50849604027394e-16,"WRI"
"306","Japan","Waste",8760,35.8501848227876,NA,"WRI"
"307","Japan","Wind",8760,3.83409436834094,4.86475355559049e-16,"WRI"
"308","Jordan","Gas",8760,0.0394100174425818,4.00617226329909e-18,"WRI"
"309","Jordan","Oil",8760,5.03777283702694,NA,"WRI"
"310","Kazakhstan","Coal",8760,0.543827328887983,8.73518804477772e-17,"WRI"
"311","Kazakhstan","Gas",8760,5.75713470319635,0,"WRI"
"312","Kazakhstan","Hydro",8760,0.451322890039545,3.20493781063927e-17,"WRI"
"313","Kazakhstan","Solar",8760,0.00228310502283105,NA,"WRI"
"314","Kenya","Geothermal",8760,0.614530721994114,9.93013661298909e-17,"WRI"
"315","Kenya","Hydro",8760,0.481219920120401,4.19624860425158e-17,"WRI"
"316","Kenya","Oil",8760,0.35222700352227,4.29987528494926e-17,"WRI"
"317","Kenya","Wind",8760,0.0129296558670015,2.4532694666934e-18,"WRI"
"318","Kosovo","Coal",8760,0.407035300078472,7.85046229341888e-17,"WRI"
"319","Kuwait","Gas",8760,0.140833864086865,1.81702894593843e-17,"WRI"
"320","Kyrgyz Republic","Coal",8760,0.181733804858881,NA,"WRI"
"321","Kyrgyz Republic","Hydro",8760,0.521662037690847,4.96506830649455e-17,"WRI"
"322","Kyrgyz Republic","Oil",8760,0.191780821917808,NA,"WRI"
"323","Lao PDR","Coal",8760,NA,NA,"WRI"
"324","Lao PDR","Hydro",8760,NA,NA,"WRI"
"325","Latvia","Gas",8760,0.266514307610198,0,"WRI"
"326","Latvia","Hydro",8760,0.148193730974125,0,"WRI"
"327","Lebanon","Gas",8760,0,0,"WRI"
"328","Lebanon","Oil",8760,1.7935796735582,1.11022302462516e-16,"WRI"
"329","Lesotho","Hydro",8760,NA,NA,"WRI"
"330","Liberia","Hydro",8760,NA,NA,"WRI"
"331","Liberia","Oil",8760,NA,NA,"WRI"
"332","Libya","Gas",8760,0.390975946353979,3.92523114670944e-17,"WRI"
"333","Libya","Oil",8760,6.3307240704501,6.2803698347351e-16,"WRI"
"334","Lithuania","Gas",8760,0.0801837486934038,8.01234452659818e-18,"WRI"
"335","Lithuania","Hydro",8760,0.12410163193646,1.96261557335472e-17,"WRI"
"336","Luxembourg","Gas",8760,0.430528375733855,NA,"WRI"
"337","Luxembourg","Hydro",8760,0.102968741191724,NA,"WRI"
"338","Macedonia, FYR","Coal",8760,0.533247716894977,0,"WRI"
"339","Macedonia, FYR","Hydro",8760,0.24490826186963,3.20493781063927e-17,"WRI"
"340","Madagascar","Coal",8760,NA,NA,"WRI"
"341","Madagascar","Gas",8760,NA,NA,"WRI"
"342","Madagascar","Hydro",8760,NA,NA,"WRI"
"343","Madagascar","Oil",8760,NA,NA,"WRI"
"344","Malawi","Biomass",8760,NA,NA,"WRI"
"345","Malawi","Gas",8760,NA,NA,"WRI"
"346","Malawi","Hydro",8760,NA,NA,"WRI"
"347","Malaysia","Biomass",8760,6.66856925418569,NA,"WRI"
"348","Malaysia","Coal",8760,0.490075761725581,5.06745162040676e-17,"WRI"
"349","Malaysia","Gas",8760,0.632315613149863,5.0940525990875e-17,"WRI"
"350","Malaysia","Hydro",8760,0.768381348558625,5.55111512312578e-17,"WRI"
"351","Malaysia","Oil",8760,2.23821250833718,3.62597321469472e-16,"WRI"
"352","Malaysia","Solar",8760,0.338735189661862,1.96261557335472e-17,"WRI"
"353","Mali","Hydro",8760,NA,NA,"WRI"
"354","Mauritania","Gas",8760,NA,NA,"WRI"
"355","Mauritania","Oil",8760,NA,NA,"WRI"
"356","Mauritania","Solar",8760,NA,NA,"WRI"
