,Country,Technology,Project.Name,Sub.sector,Capacity,Capacity.Unit,Region,Time,EmiF,EmUnits,EmCite,h,mean_ut,sd_ut,UtCite
129,India,Solar,Charanka solar based power unit (15 MW) ,Electricity Generation,15,MW,South Asia,NA,0,NA,NA,8760,0.221541067,1.94E-17,WRI
115,Honduras,Wind,Chinchayote Wind Farm,Electricity generation,28,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.360585635,NA,WRI
77,China,Wind,Concord NE,Electricity generation,200,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.349421406,2.39E-17,WRI
56,China,Solar,Dai County Baotong Xinzhou City 40MW Solar Power Plant,Electricity generation,33,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.194,6.64E-17,He 2016
207,Pakistan,Hydro,Dasu Hydropower Stage 1 Project,Electricity Generation,2160,MW,South Asia,NA,0,NA,NA,8760,0.44904266,4.24E-17,WRI
33,Brazil,Wind,Delta 3 Wind Park,Electricity generation,220.8,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.135367997,1.61E-17,WRI
105,"Egypt, Arab Rep.",Solar,Delta Solar PV Plant,Electricity generation,50,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
123,India,Solar,Divine Solren Solar park,Electricity generation,47.5,MW,South Asia,NA,0,NA,NA,8760,0.221541067,1.94E-17,WRI
222,Serbia,Wind,Dolovo Cibuk I Wind Farm,Electricity generation,158.4,MW,Europe and Central Asia,NA,0,NA,NA,NA,0.335,NA,IEA
184,Mexico,Solar,Don Jose Solar Farm,Electricity generation,238,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.15,0,NREL
169,Lao PDR,Hydro,Don Sahong Hydropower,Electricity generation,260,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.43,NA,EIA
98,"Egypt, Arab Rep.",Solar,EDF EN Benban PV plant,Electricity generation,50,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
236,Turkey,Geothermal,Efeler Geothermal plant expansion,Electricity generation,19.8,MW,Europe and Central Asia,NA,0,NA,NA,8760,0.562214612,3.51E-17,WRI
157,Jamaica,Solar,Eight Rivers Energy,Electricity generation,50,MW,Latin America and the Caribbean,NA,0,NA,NA,NA,0.16,NA,IEA
197,Namibia,Solar,Ejuva One and Ejuva Two Solar Plants,Electricity generation,27.3,MW,Sub-Saharan Africa,NA,0,NA,NA,8760,0.16,NA,IEA
14,Argentina,Wind,El Corti Wind Farm,Electricity generation,98.6,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.393675989,5.29E-17,WRI
189,Mexico,Wind,El Cortijo wind farm,Electricity generation,168,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.462289919,3.82E-17,WRI
187,Mexico,Wind,El Mezquite Wind Farm,Electricity generation,250,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.462289919,3.82E-17,WRI
99,"Egypt, Arab Rep.",Solar,Elsewedy Benban Solar Plant,Electricity generation,30,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
120,India,Solar,Essel Jalgaon Solar Plant,Electricity generation,10,MW,South Asia,NA,0,NA,NA,8760,0.221541067,1.94E-17,WRI
12,Argentina,Solar,"Fiambala, Saujil and Tinogasta solar  parks",Electricity generation,20,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.570776256,1.11E-16,WRI
112,Guinea,Hydro,Fomi multi-purpose dam,Electricity Generation,90,MW,Sub-Saharan Africa,NA,0,NA,NA,8760,0.43,NA,EIA
132,India,Solar,FRV Andhra Pradesh Solar Farm I,Electricity generation,24,MW,South Asia,NA,0,NA,NA,8760,0.221541067,1.94E-17,WRI
131,India,Solar,FRV India Solar Park II,Electricity generation,50,MW,South Asia,NA,0,NA,NA,8760,0.221541067,1.94E-17,WRI
217,Samoa,Hydro,Fuluasou small hydropower plant (700 kW),Electricity Generation,0.7,MW,East Asia and Pacific,NA,0,NA,NA,NA,0.43,NA,EIA
81,Djibouti,Geothermal,Gale-Le-Koma geothermal project,Electricity Generation,15,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.732,NA,EIA
80,Côte d'Ivoire,Hydro,Gribo-Popoli hydropower,Electricity Generation,112,MW,Sub-Saharan Africa,NA,0,NA,NA,NA,0.43,NA,EIA
155,Iraq,Heat,Hartha Thermal Power Station Rehabilitation Project (Phase 2) Unit I,Electricity Generation,200,MW,Middle East and North Africa,NA,NA,NA,NA,NA,NA,NA,NA
179,Mexico,Solar,Hermosillo Solar Plant,Electricity generation,105,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.15,0,NREL
83,Ecuador,Hydro,Hidronormandia Plant,Electricity generation,46.2,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.401924478,5.23E-17,WRI
93,"Egypt, Arab Rep.",Solar,Horus Solar PV Plant,Electricity generation,50,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
94,"Egypt, Arab Rep.",Solar,Infinity Solar Portfolio,Electricity generation,100,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
44,China,Hydro,Inner Mongolia Zhirui Pumped Storage Power Station,Electricity Generation,1200,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.469064284,4.27E-17,WRI
153,"Iran, Islamic Rep.",Solar,Jajarm Solar Park,Electricity generation,35,MW,Middle East and North Africa,NA,0,NA,NA,8760,0.16,NA,IEA
185,Mexico,Solar,Jalisco Solar 1,Electricity generation,8,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.15,0,NREL
138,India,Wind,Janardan Wind Energy,Electricity generation,10,MW,South Asia,NA,0,NA,NA,8760,0.2414375,0.026281454,Kar 2015
64,China,Solar,Jinko Power Huancheng 100MW Solar Power Plant,Electricity generation,100,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.194,6.64E-17,He 2016
48,China,Solar,Jinkopower Pingding County 100MW Solar Power Plant,Electricity generation,49.6,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.194,6.64E-17,He 2016
170,Madagascar,Hydro,Jirama Andekaleka Hydro Expansion,Electricity Generation,33,MW,Sub-Saharan Africa,NA,0,NA,NA,8760,0.43,NA,EIA
2,Afghanistan,Solar,Kabul Solar Plant,Electricity Generation,20,MW,South Asia,NA,0,NA,NA,NA,0.16,NA,IEA
1,Afghanistan,Hydro,Kamal Khan Dam Phase 3,Electricity Generation,8.5,MW,South Asia,NA,0,NA,NA,8760,0.43,NA,EIA
3,Afghanistan,Solar,Kandahar Solar Plant,Electricity generation,10,MW,South Asia,NA,0,NA,NA,NA,0.16,NA,IEA
242,Zimbabwe,Hydro,Kariba South Hydro & Hwange Thermal Power Plant Portfolio Rehabilitation Project,Electricity Generation,980,MW,Sub-Saharan Africa,NA,0,NA,NA,8760,0.826636225,NA,WRI
139,India,Wind,Karnataka Wind Farm,Electricity generation,50,MW,South Asia,NA,0,NA,NA,8760,0.2414375,0.026281454,Kar 2015
205,Pakistan,Hydro,Karot Hydropower Plant,Electricity generation,720,MW,South Asia,NA,0,NA,NA,8760,0.44904266,4.24E-17,WRI
165,Kenya,Hydro,Kenyan Hydro Portfolio (16MW) IFC Facility,Electricity Generation,16,MW,Sub-Saharan Africa,NA,0,NA,NA,8760,0.48121992,4.20E-17,WRI
7,Argentina,Hydro,Kirchner-Cepernic Hydropower Complex 1740 MW,Electricity Generation,1740,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.472022821,4.27E-17,WRI
95,"Egypt, Arab Rep.",Solar,Kom Ombo solar power project,Electricity Generation,50,MW,Middle East and North Africa,NA,0,NA,NA,NA,0.16,NA,IEA
223,Serbia,Wind,Kosava Wind Farm Phase I,Electricity generation,69,MW,Europe and Central Asia,NA,0,NA,NA,NA,0.335,NA,IEA
220,Serbia,Hydro,Kostolac wind farm ,Electricity Generation,66,MW,Europe and Central Asia,NA,0,NA,NA,8760,0.554870942,6.41E-17,WRI
224,Serbia,Wind,Kovacica Wind Farm,Electricity generation,104.5,MW,Europe and Central Asia,NA,0,NA,NA,NA,0.335,NA,IEA
117,India,Nuclear,Kudankulam NPP Unit No. 3 & 4,Electricity Generation,2000,MW,India,NA,0,NA,NA,8760,0.925,NA,EIA
148,Indonesia,Hydro,Kumbih III hydro power plant,Electricity Generation,45,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.379249666,3.72E-17,WRI
15,Argentina,Wind,La Castellana Wind Farm,Electricity generation,99,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.393675989,5.29E-17,WRI
19,Bolivia,Geothermal,Laguna Colorada Geothermal Plant,Electricity Generation,100,MW,Latin America and the Caribbean,NA,0,NA,NA,NA,0.732,NA,EIA
23,Brazil,Hydro,Lajari Small Hydro Power Plant,Electricity generation,25,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.434825487,4.27E-17,WRI
135,India,Solar,Lightsource Solar PV (Maharashtra),Electricity generation,12,MW,South Asia,NA,0,NA,NA,8760,0.221541067,1.94E-17,WRI
39,Cameroon,Hydro,Lom Pangar Power Plant,Electricity Generation,30,MW,Sub-Saharan Africa,NA,0,NA,NA,8760,0.91802414,0,WRI
50,China,Solar,Longan County Zhendong 100MW Solar Power Plant Phase I,Electricity generation,50,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.194,6.64E-17,He 2016
202,Nigeria,Hydro,Mambilla Hydroelectric Plant,Electricity Generation,3050,MW,Sub-Saharan Africa,NA,0,NA,NA,8760,0.321196828,0,WRI
6,Argentina,Hydro,Manantiales Behr Wind Power Plant 100 MW,Electricity Generation,100,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.472022821,4.27E-17,WRI
225,Sri Lanka,Wind,Mannar Wind Farm Phase I,Electricity Generation,100,MW,South Asia,NA,0,NA,NA,8760,0.240699444,2.04E-17,WRI
17,Bangladesh,Hydro,Matarbari Ultra Super Critical Coal-Fired Power Project (III),Electricity Generation,1200,MW,South Asia,NA,0,NA,NA,8760,0.291840381,NA,WRI
38,Cameroon,Hydro,Memve'ele Hydroelectric Power Plant (200MW) Additional Facility 2017,Electricity Generation,200,MW,Sub-Saharan Africa,NA,0,NA,NA,8760,0.91802414,0,WRI
171,Malaysia,Solar,"Merchang, Jasin and Gurun  Solar Farms",Electricity generation,197,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.33873519,1.96E-17,WRI
111,Georgia,Hydro,Mestiachala 1 & 2 HEPPs,Electricity generation,40.27,MW,Europe and Central Asia,NA,0,NA,NA,8760,0.368592244,3.51E-17,WRI
195,Mozambique,Solar,Mocuba Solar PV Plant,Electricity generation,50,MW,Sub-Saharan Africa,NA,0,NA,NA,NA,0.16,NA,IEA
147,Indonesia,Geothermal,Muara Laboh Geothermal Power Plant,Electricity generation,80,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.853867668,9.79E-17,WRI
167,Lao PDR,Hydro,Nam Ngum 1 Dam Expansion Project,Electricity Generation,80,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.43,NA,EIA
166,Lao PDR,Hydro,Nam Theun I,Electricity generation,650,MW,East Asia and Pacific,NA,0,NA,NA,8760,0.43,NA,EIA
193,Morocco,Solar,Noor PV I Solar Trio,Electricity generation,177,MW,Middle East and North Africa,NA,0,NA,NA,8760,0.16,NA,IEA
228,Tajikistan,Hydro,"Nurek Hydropower Rehabilitation Project, Phase I",Electricity Generation,3000,MW,Europe and Central Asia,NA,0,NA,NA,8760,0.389741383,4.20E-17,WRI
199,Nepal,Hydro,Nyadi Hydropower Plant,Electricity generation,50,MW,South Asia,NA,0,NA,NA,8760,0.775220444,1.06E-16,WRI
162,Kenya,Geothermal,Olkaria Geothermal Power Extension,Electricity Generation,61,MW,Sub-Saharan Africa,NA,0,NA,NA,8760,0.614530722,9.93E-17,WRI
164,Kenya,Geothermal,Olkaria I Unit 6 ,Electricity Generation,70,MW,Sub-Saharan Africa,NA,0,NA,NA,8760,0.614530722,9.93E-17,WRI
163,Kenya,Geothermal,Olkaria V Geothermal Power Development Project,Electricity Generation,140,MW,Sub-Saharan Africa,NA,0,NA,NA,8760,0.614530722,9.93E-17,WRI
182,Mexico,Solar,Orejana and Santa Maria Solar Parks,Electricity generation,337,MW,Latin America and the Caribbean,NA,0,NA,NA,8760,0.15,0,NREL
